TrackName,Artist,Genre,Number,DJ,Date
Miguel De Bois - ID,Miguel De Bois,,1.0,sim0ne,2024-10-27
Klubbheads - Hard House,Klubbheads,Hard Dance,2.0,sim0ne,2024-10-27
Rollercoaster - Damn!,Rollercoaster (NL),Hard Dance,3.0,sim0ne,2024-10-27
Trevor & Simon - Hands Up,Trevor & Simon,,4.0,sim0ne,2024-10-27
Bury2k - House Transmission,Bury2k,,5.0,sim0ne,2024-10-27
Club Caviar - Speed It Up (Dr. Bounce Remix),Club Caviar,House,6.0,sim0ne,2024-10-27
Tony De Vit - Don't Ever Stop (BK Remix),Tony De Vit,Techno,7.0,sim0ne,2024-10-27
sim0ne - Work It,sim0ne,Techno,8.0,sim0ne,2024-10-27
Q-Tex - The First Parable,Q-Tex,Techno,9.0,sim0ne,2024-10-27
Euphony - Bad Boy Bass,Euphony,,10.0,sim0ne,2024-10-27
Donk The System - Denis & Oh Boy,Donk The System,,11.0,sim0ne,2024-10-27
Lana Del Rey - Say Yes To Heaven (sim0ne & Melo Nada Remix),Lana Del Rey,Dance / Electro Pop,12.0,sim0ne,2024-10-27
Interactive - Forever Young,Interactive,Techno,13.0,sim0ne,2024-10-27
Jimmy J & Cru-L-T - Six Days (Slipmatt Remix),Jimmy J & Cru-L-T,,14.0,sim0ne,2024-10-27
Unresolved - Back Alive (Bloodlust Remix),Unresolved,Hard Dance,1.0,Lil Texas,2024-10-25
Darren Styles & TNT - Hard Beat,Darren Styles & TNT,Hard Dance,2.0,Lil Texas,2024-10-25
RAYZEN - Amsterdam,RAYZEN,,3.0,Lil Texas,2024-10-25
Lil Texas - ID,Lil Texas,,4.0,Lil Texas,2024-10-25
The Purge & KENAI - BALDRACCA,The Purge & KENAI,Hard Dance,5.0,Lil Texas,2024-10-25
Dutch Disorder - Heroine (Pat B Remix / TOZA Edit),Dutch Disorder,Hard Dance,6.0,Lil Texas,2024-10-25
Lil Texas - Why Can't You See,Lil Texas,,7.0,Lil Texas,2024-10-25
Anderex - Text To Speech,Anderex,,8.0,Lil Texas,2024-10-25
The Purge & TOZA - NEXT TO U,The Purge & TOZA,Hard Dance,9.0,Lil Texas,2024-10-25
Manji - Rage Power,Manji,Techno,10.0,Lil Texas,2024-10-25
Aversion & E-Force - Bring It On,Aversion & E-Force,Hard Dance,11.0,Lil Texas,2024-10-25
Kronos & Unresolved - XTC (Tomsku x Semperfusion Edit),Kronos & Unresolved,,12.0,Lil Texas,2024-10-25
OGUZ & Nyctonian - Golden Szn (Riot Shift Remix),OGUZ & Nyctonian,,13.0,Lil Texas,2024-10-25
Pharoahe Monch - Simon Says,Pharoahe Monch,,14.0,Lil Texas,2024-10-25
Aversion & Luminite - The Rapture (Illuszion Edit),Aversion & Luminite,,15.0,Lil Texas,2024-10-25
